display_address,bathrooms,bedrooms,building_id,created,description,features,latitude,listing_id,longitude,manager_id,photos,price,street_address,interest_level
175th & Ft Washington ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176 Presidents lane,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176 West 225 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176 lincoln place ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1760  FIRST  AVENUE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1760 1st Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1764 First Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177 Concord Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
177 Ludlow Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1771 1st avenue ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1775 Clay Avenue,2,2,2,2,2,2,2,2,2,2,2,2,2,2
178 Thompson St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178 thompson street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1787 Fulton St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1789 Flatbush Ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179 16th street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179 Essex St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179 Orchard,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17A Kane Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17a Kane Place,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17th St ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17th Street,4,4,4,4,4,4,4,4,4,4,4,4,4,4
18 Hull street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18 Meserole St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18 Morningside Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18 West 37th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18 West 48th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18 w 37,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18-10 Astoria Blvd,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18-16 Summerfield Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180 Borinquen Place,2,2,2,2,2,2,2,2,2,2,2,2,2,2
180 Midwood Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180 Nassau St. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180 South 4th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1801 Ocean Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1803 Riverside Drive,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1804 Third Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1807 79th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181 E 119 St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181 East 161 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181 Eckford Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181-A Prospect Park West,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1818 Ocean Ave,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1819 78th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1819 Second Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181st St. and Pinehurst,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182 21 St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182 Eagle St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182 East 7th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182 East 95th,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182 Garfield Pl,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182 Mulberry Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1821 Bleecker S2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1822 Cornelia Street,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1825 Foster Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1827 Second Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184 Bleecker Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184 Concord Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184 Eagle Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184 Franklin Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
184 Java St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184 Kearney Ave.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184 Thompson Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185 Bronx River Road,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185 East 3rd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185 Lenox Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185A Schaefer St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185a Schaefer St,3,3,3,3,3,3,3,3,3,3,3,3,3,3
186 13th street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
186 Grand Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
186 THOMPSON ST ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1863 Park Place,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1865 Madison Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1869 83rd St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
187 East 4th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188 2nd Avenue,3,3,3,3,3,3,3,3,3,3,3,3,3,3
188 East 70th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188 Stockholm Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189 Avenue C,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189 Waverly Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18TH STREET,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19 Barrow Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19 Commerce Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19 Monroe Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19 Park Ave.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19 St Marks Place ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19-21 barrow street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19-31 Ditmars Blvd,1,1,1,1,1,1,1,1,1,1,1,1,1,1
190 Claremont Avenue,2,2,2,2,2,2,2,2,2,2,2,2,2,2
190 E. Mosholu,1,1,1,1,1,1,1,1,1,1,1,1,1,1
190 Orchard street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
191 East 76th Street,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1916 Prospect Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
191a Court St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
192 A Lexington Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1922 McGraw Ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
193 E 4th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
193 Meserole Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194 East 2nd Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
195,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195 Wyckoff Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1952a 66th Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
195th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
196 5th Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
196 Madison Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
196 St Nicholas Ave ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
196 Stockholm St ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
197 Greene Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
198 Broadway ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1982 Atlantic Avenue,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1988 Coney Island Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
199   9th  Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
199 Bowery,1,1,1,1,1,1,1,1,1,1,1,1,1,1
199 Kingston Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
199 Lefferts Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
199 Malcolm X Boulevard,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1991 Broadway,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1997 Eastern Parkway ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19th and 8th,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1av and e 9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1br W/D & Parking ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1br on w 15 st,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1st Ave,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1st Ave.,58,58,58,58,58,58,58,58,58,58,58,58,58,58
1st Ave. Loop,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1st Avenue,41,41,41,41,41,41,41,41,41,41,41,41,41,41
1st Avenue and Houston Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1st St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1st Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2  Bank St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2 Ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2 Ave.,46,46,46,46,46,46,46,46,46,46,46,46,46,46
2 B2 BANK STREET,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2 Gold St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2 Gold Street,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2 Month Sublet,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2 River Terrace,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2 Water Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2-01 50th ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2-8 Gold Street,4,4,4,4,4,4,4,4,4,4,4,4,4,4
20  Wall Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20 Beekman ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20 Beekman Place,4,4,4,4,4,4,4,4,4,4,4,4,4,4
20 Bushwick Ave.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20 Covert,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20 Covert ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20 Covert St, Brooklyn",1,1,1,1,1,1,1,1,1,1,1,1,1,1
20 East 42nd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20 Exchange Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20 Pine St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20 Prince Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20 River Court,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20 River Terrace,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20 Washington,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20 West 16th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20 West 68th Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20 West 70th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20 West 83rd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20 West Street,7,7,7,7,7,7,7,7,7,7,7,7,7,7
20 covert,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20 st,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20-75 38th street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200 Allen St,2,2,2,2,2,2,2,2,2,2,2,2,2,2
200 Brighton 15th St,4,4,4,4,4,4,4,4,4,4,4,4,4,4
200 E 30 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200 East 15th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200 East 33rd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200 East 39th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200 East 66th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200 East 71st Street,14,14,14,14,14,14,14,14,14,14,14,14,14,14
200 East 72nd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200 East 87th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200 East 89th Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
200 East 94th Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
200 Prospect Park West,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200 Rector Pl,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200 Rector Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200 Riverside Boulevard,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200 Riverside Drive,3,3,3,3,3,3,3,3,3,3,3,3,3,3
200 Sterling Pl,2,2,2,2,2,2,2,2,2,2,2,2,2,2
200 Water Street,4,4,4,4,4,4,4,4,4,4,4,4,4,4
200 West 67th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200 West End Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200-20 32nd Avenue ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2000 Bruckner Blvd,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006 Amsterdam Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 Allen St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 Allen Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 Central Ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 Commons Park,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 E 30 Street,3,3,3,3,3,3,3,3,3,3,3,3,3,3
201 E 35th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 East 12th Street,6,6,6,6,6,6,6,6,6,6,6,6,6,6
201 East 19th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 East 20th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 East 33rd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 East 35th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 East 36th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 East 37th,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 East 81st,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 East 83rd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 East 87th Street,4,4,4,4,4,4,4,4,4,4,4,4,4,4
201 W 11th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 WEST 109TH STREET NEW YORK,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201 West 70th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2010 Powell Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015 Dorchester Rd.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202 Eighth Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202 First Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202 Lincoln Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202 Riverside Drive,2,2,2,2,2,2,2,2,2,2,2,2,2,2
202 riverside dr,1,1,1,1,1,1,1,1,1,1,1,1,1,1
203 30th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
203 Chrystie St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
203 East 33rd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
203 East 74th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
203 WEST 85 STREET,1,1,1,1,1,1,1,1,1,1,1,1,1,1
203 West 85th Street,3,3,3,3,3,3,3,3,3,3,3,3,3,3
203 w 108th St Apt 5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
204 Irving Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
204 Ocean Pkwy,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2045 Story Avenue,2,2,2,2,2,2,2,2,2,2,2,2,2,2
205 18th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
205 Allen Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
205 East 59th Street,3,3,3,3,3,3,3,3,3,3,3,3,3,3
205 Monitor Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
205 Second Avenue ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
205 West 13th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206 East 83rd Street,3,3,3,3,3,3,3,3,3,3,3,3,3,3
206 Upper Mountain Avenu,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206 West 106th st nyc,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206 West 148th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206 West 20th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
207 East 33rd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
207 East 57th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
207 Madison Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
207 WEST 109TH STREET,2,2,2,2,2,2,2,2,2,2,2,2,2,2
207 West 109th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2076 Dean St,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2076 Frederick Douglass Boulevard,1,1,1,1,1,1,1,1,1,1,1,1,1,1
208 E 25th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
208 East 61st Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209 E 25th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209 East 10th Streeet,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209 west 109 - Apt 1W,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209-211 East 25th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209a Wyckoff St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20TH ST AND 1ST AVE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20th street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21 Adelphi Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21 Jay Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21 Polhemus Pl,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21 Triple Oak Ln,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21 West 12th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21 monitor,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"21-15 33rd Street, Astoria, NY 11105",1,1,1,1,1,1,1,1,1,1,1,1,1,1
21-17 22nd Dr,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21-26 24th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21-26 33rd Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21-33 45th Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21-35 27th street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21-35 71 St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21-77 33rd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210 Ave B,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210 Brighton 15th St,2,2,2,2,2,2,2,2,2,2,2,2,2,2
210 E 25th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210 East 15th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210 East 22nd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210 East 31st Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210 East 65th St..,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210 East 83rd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210 Howard Avenue,2,2,2,2,2,2,2,2,2,2,2,2,2,2
210 W 70th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210 West 104th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210 West 72nd,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210 West 89th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2105 Burr Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211 East 18th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211 East 35th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211 East 51st Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211 Sherman Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211 Thompson Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211 W 53 St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211 east 52nd street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2110 Bronx Park East,2,2,2,2,2,2,2,2,2,2,2,2,2,2
212   Park Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212 E 12Th Street ,2,2,2,2,2,2,2,2,2,2,2,2,2,2
212 E 47th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212 East 47th Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
212 Forsyth Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212 Lafayette Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212 North 4th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212 North 9th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212 W 22ND ST,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213 E 26th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213 Maujer Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213 Sixth Avenue ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213 St. Ann's Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214 East 51st Street,5,5,5,5,5,5,5,5,5,5,5,5,5,5
214 Mulberry Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214 W 102nd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214 W 109th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214 west 102nd street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2140 Cruger Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215 East 24th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215 East 66th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215 East 89th Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215 W 106th St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215 West 106,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215 West 83rd Street,4,4,4,4,4,4,4,4,4,4,4,4,4,4
215 east 110th street new york,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215 west 83rd,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2155 66th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
216 E 83 Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2160 Bolton Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2160 Holland Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21610 77th Avenue,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2165 1st Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2169 Pacific St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217 Carroll,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217 Haven Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217 Ralph Av.e,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217 Ralph Ave,2,2,2,2,2,2,2,2,2,2,2,2,2,2
217 Spencer St,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217 W 238th,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218 Avenue A,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218 Boerum,2,2,2,2,2,2,2,2,2,2,2,2,2,2
218 South 3rd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218 West 10th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218 West 14th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2180 Ryer Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2181 Barnes Ave, 1000sq.ft",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2186 5th Avenue,3,3,3,3,3,3,3,3,3,3,3,3,3,3
219 Central Ave.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219 E 196th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"219 E. 89th Street, Apartment PHW",1,1,1,1,1,1,1,1,1,1,1,1,1,1
219 East 69th Street,3,3,3,3,3,3,3,3,3,3,3,3,3,3
219 East 89th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219 Second Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219 West 81st Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21st,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21st Ave,2,2,2,2,2,2,2,2,2,2,2,2,2,2
21st St,7,7,7,7,7,7,7,7,7,7,7,7,7,7
21st St.,4,4,4,4,4,4,4,4,4,4,4,4,4,4
21st Street,15,15,15,15,15,15,15,15,15,15,15,15,15,15
21st and 7th,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21st ave and 28th street, Astoria, NY, 11105",1,1,1,1,1,1,1,1,1,1,1,1,1,1
22 Covert Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22 West 15th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22 West 82 Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22 fayette st,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22-05 37th Street, Astoria, NY 11105",1,1,1,1,1,1,1,1,1,1,1,1,1,1
22-18 41st Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22-22 Jackson Avenue,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22-24 East 105th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22-27 33rd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22-43 28th street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22-65 27th Street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22-73 Steinway Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220 Calyer Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220 Chrystie St.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"220 E 24th St,",1,1,1,1,1,1,1,1,1,1,1,1,1,1
220 E 85 Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
220 East 51st street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220 East 57th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220 East 63rd Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
220 East 65th Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
220 Quincy Stret,1,1,1,1,1,1,1,1,1,1,1,1,1,1
